MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Ave-1642,Insulin-like growth factor I receptor antagonist,Insulin-like growth factor I receptor
Rg-7160,Epidermal growth factor receptor erbB1 antagonist,Epidermal growth factor receptor erbB1
Perphenazine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Trimipramine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Azilsartan Medoxomil,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Meclofenamic Acid,Arachidonate 5-lipoxygenase inhibitor,Arachidonate 5-lipoxygenase
Protriptyline,Serotonin transporter inhibitor,Serotonin transporter
Olsalazine,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Regorafenib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Cyclosporine,Cyclophilin A modulator,Cyclophilin A
Cosyntropin,Melanocortin receptor 2 agonist,Melanocortin receptor 2
Insulin Zinc Susp Prompt Beef,Insulin receptor agonist,Insulin receptor
Naratriptan,Serotonin 1d (5-HT1d) receptor agonist,Serotonin 1d (5-HT1d) receptor
Methadone,Mu opioid receptor agonist,Mu opioid receptor
Human Fsh,Follicle stimulating hormone receptor agonist,Follicle stimulating hormone receptor
Lamivudine,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase
Diethylstilbestrol,Estrogen receptor alpha agonist,Estrogen receptor alpha
Maprotiline,Norepinephrine transporter inhibitor,Norepinephrine transporter
Dichlorphenamide,Carbonic anhydrase XII inhibitor,Carbonic anhydrase XII
Nalbuphine,Opioid receptors; mu/kappa/delta agonist,Opioid receptors; mu/kappa/delta
Ponatinib,Bcr/Abl fusion protein inhibitor,Bcr/Abl fusion protein
Flurbiprofen,Cyclooxygenase inhibitor,Cyclooxygenase
Nitroglycerin,Soluble guanylate cyclase activator,Soluble guanylate cyclase
Chlorpropamide,"Sulfonylurea receptor 1, Kir6.2 blocker","Sulfonylurea receptor 1, Kir6.2"
Denileukin Diftitox,Elongation factor 2 inhibitor,Elongation factor 2
Testosterone Propionate,Androgen Receptor agonist,Androgen Receptor
Sertaconazole,Cytochrome P450 51 inhibitor,Cytochrome P450 51
Famciclovir,Human herpesvirus 1 DNA polymerase inhibitor,Human herpesvirus 1 DNA polymerase
Valacyclovir,Human herpesvirus 1 DNA polymerase inhibitor,Human herpesvirus 1 DNA polymerase
Lamivudine,DNA inhibitor,DNA
Enflurane,Glycine receptor (alpha-1/beta) positive modulator,Glycine receptor (alpha-1/beta)
Dimercaprol,Heavy metals chelating agent,Heavy metals
Clioquinol,Copper chelating agent,Copper
Thiamylal,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Trovafloxacin,Topoisomerase IV inhibitor,Topoisomerase IV
Sulfamethoxazole,Bacterial dihydropteroate synthase inhibitor,Bacterial dihydropteroate synthase
Cefuroxime,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Cefpiramide,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Erythromycin Estolate,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Cisplatin,DNA inhibitor,DNA
Desflurane,Potassium channel subfamily K member 2 opener,Potassium channel subfamily K member 2
Linezolid,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Pegademase Bovine,2'-deoxyadenosine hydrolytic enzyme,2'-deoxyadenosine
Pegademase Bovine,Adenosine hydrolytic enzyme,Adenosine
Bisacodyl,Unknown,
Auranofin,Unknown,
Menotropins,Follicle stimulating hormone receptor agonist,Follicle stimulating hormone receptor
Ceritinib,ALK tyrosine kinase receptor inhibitor,ALK tyrosine kinase receptor
Px-102,Bile acid receptor FXR agonist,Bile acid receptor FXR
Kw-2449,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Tgr-1202,PI3-kinase p110-delta subunit inhibitor,PI3-kinase p110-delta subunit
Vgx-1027,Unknown,
Erteberel,Estrogen receptor beta agonist,Estrogen receptor beta
Atx08-001,Peroxisome proliferator-activated receptor gamma modulator,Peroxisome proliferator-activated receptor gamma
Aee-788,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
At-9283,Tyrosine-protein kinase JAK3 inhibitor,Tyrosine-protein kinase JAK3
Buparlisib,PI3-kinase class I inhibitor,PI3-kinase class I
Rociletinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
R-112,Tyrosine-protein kinase SYK inhibitor,Tyrosine-protein kinase SYK
Defactinib,Focal adhesion kinase 1 inhibitor,Focal adhesion kinase 1
Xl-820,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Xl-999,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Rg7314,Vasopressin V1a receptor antagonist,Vasopressin V1a receptor
Pratosartan,Solute carrier family 22 member 12 inhibitor,Solute carrier family 22 member 12
Incb-047986,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Vidupiprant,Prostanoid DP receptor antagonist,Prostanoid DP receptor
Mk-8777,Glutamate receptor ionotropic AMPA positive allosteric modulator,Glutamate receptor ionotropic AMPA
Muraglitazar,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Vatalanib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Orantinib,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Esmirtazapine,Adrenergic receptor alpha-2 antagonist,Adrenergic receptor alpha-2
Tezosentan,Endothelin receptor ET-A antagonist,Endothelin receptor ET-A
Terameprocol,DNA inhibitor,DNA
Polmacoxib,Carbonic anhydrase I inhibitor,Carbonic anhydrase I
Margetuximab,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Zonampanel,Glutamate receptor ionotropic AMPA antagonist,Glutamate receptor ionotropic AMPA
Intetumumab,Integrin alpha-V/beta-3 antagonist,Integrin alpha-V/beta-3
Metelimumab,Transforming growth factor beta-1 inhibitor,Transforming growth factor beta-1
Lirilumab,Killer cell immunoglobulin-like receptor 2DL2 inhibitor,Killer cell immunoglobulin-like receptor 2DL2
Dalotuzumab,Insulin-like growth factor I receptor antagonist,Insulin-like growth factor I receptor
Tridihexethyl,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Zafirlukast,Cysteinyl leukotriene receptor 1 antagonist,Cysteinyl leukotriene receptor 1
Infliximab,TNF-alpha inhibitor,TNF-alpha
Triptorelin,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
Betaxolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Chlorthalidone,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Thiazide-sensitive sodium-chloride cotransporter
Aminoglutethimide,Cytochrome P450 19A1 inhibitor,Cytochrome P450 19A1
Dinoprost,Prostanoid FP receptor agonist,Prostanoid FP receptor
Carboprost,Prostanoid FP receptor agonist,Prostanoid FP receptor
Pralidoxime,Acetylcholinesterase activator,Acetylcholinesterase
Progesterone,Progesterone receptor agonist,Progesterone receptor
Drospirenone,Progesterone receptor agonist,Progesterone receptor
Ethoxzolamide,Carbonic anhydrase inhibitor,Carbonic anhydrase
Mycophenolate Mofetil,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,Inosine-5'-monophosphate dehydrogenase (IMPDH)
Levallorphan,Kappa opioid receptor partial agonist,Kappa opioid receptor
Trimetrexate,Dihydrofolate reductase inhibitor,Dihydrofolate reductase
Mivacurium,Muscle-type nicotinic acetylcholine receptor antagonist,Muscle-type nicotinic acetylcholine receptor
Penicillamine,Copper chelating agent,Copper
Chloroxine,DNA inhibitor,DNA
Altretamine,DNA inhibitor,DNA
Temozolomide,DNA inhibitor,DNA
Halothane,Potassium channel subfamily K member 18 opener,Potassium channel subfamily K member 18
Fosphenytoin,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Droperidol,D2-like dopamine receptor antagonist,D2-like dopamine receptor
Lapyrium,Unknown,
Tavaborole,Leucine-tRNA ligase inhibitor,Leucine-tRNA ligase
Ombitasvir,Nonstructural protein 5A inhibitor,Nonstructural protein 5A
Aripiprazole Lauroxil,Serotonin 1a (5-HT1a) receptor partial agonist,Serotonin 1a (5-HT1a) receptor
Patiromer Calcium,Potassium chelating agent,Potassium
Pexmetinib,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Ave-9940,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Azd-7762,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Ds-7423,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Nv-128,Mitochondrial complex I (NADH dehydrogenase) inhibitor,Mitochondrial complex I (NADH dehydrogenase)
Palomid-529,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Pf-04217903,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Tg-02,Cyclin-dependent kinase 9 inhibitor,Cyclin-dependent kinase 9
Pyrotinib,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Abt-560,Neuronal acetylcholine receptor; alpha4/beta2 modulator,Neuronal acetylcholine receptor; alpha4/beta2
D-3263,Transient receptor potential cation channel subfamily M member 8 agonist,Transient receptor potential cation channel subfamily M member 8
Verosudil,Rho-associated protein kinase inhibitor,Rho-associated protein kinase
Bms-582949,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Talmapimod,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Gsk163090,Serotonin 1a (5-HT1a) receptor antagonist,Serotonin 1a (5-HT1a) receptor
Solabegron,Beta-3 adrenergic receptor agonist,Beta-3 adrenergic receptor
Rimegepant,Calcitonin gene-related peptide type 1 receptor antagonist,Calcitonin gene-related peptide type 1 receptor
Pf-04634817,C-C chemokine receptor type 5 antagonist,C-C chemokine receptor type 5
Srx246,Vasopressin V1a receptor antagonist,Vasopressin V1a receptor
Relugolix,Gonadotropin-releasing hormone receptor antagonist,Gonadotropin-releasing hormone receptor
Af-219,P2X purinoceptor 3 antagonist,P2X purinoceptor 3
Azd1446,Neuronal acetylcholine receptor; alpha4/beta2 agonist,Neuronal acetylcholine receptor; alpha4/beta2
Mibampator,Glutamate receptor ionotropic AMPA positive allosteric modulator,Glutamate receptor ionotropic AMPA
Alvocidib,Cyclin-dependent kinase 9 inhibitor,Cyclin-dependent kinase 9
Volociximab,Integrin alpha-5/beta-1 antagonist,Integrin alpha-5/beta-1
Avatrombopag,Thrombopoietin receptor agonist,Thrombopoietin receptor
Fosbretabulin,Tubulin inhibitor,Tubulin
Varespladib Methyl,Phospholipase A2 group IIA inhibitor,Phospholipase A2 group IIA
Omecamtiv Mecarbil,Cardiac myosin activator,Cardiac myosin
Esreboxetine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Milatuzumab,HLA-DR antigens-associated invariant chain antagonist,HLA-DR antigens-associated invariant chain
Toralizumab,CD40 ligand inhibitor,CD40 ligand
Deflazacort,Glucocorticoid receptor agonist,Glucocorticoid receptor
Acetazolamide,Carbonic anhydrase I inhibitor,Carbonic anhydrase I
Aclidinium,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Thiethylperazine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Iloperidone,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Rosiglitazone,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Allopurinol,Xanthine dehydrogenase inhibitor,Xanthine dehydrogenase
Floxuridine,Thymidylate synthase inhibitor,Thymidylate synthase
Chlorpromazine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Methylnaltrexone,Mu opioid receptor antagonist,Mu opioid receptor
Fluprednisolone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Duloxetine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Sulfinpyrazone,Solute carrier family 22 member 12 inhibitor,Solute carrier family 22 member 12
Regorafenib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Acetaminophen,Cyclooxygenase inhibitor,Cyclooxygenase
Phenylbutazone,Cyclooxygenase inhibitor,Cyclooxygenase
Axitinib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Propranolol,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Laronidase,Heparan sulfate hydrolytic enzyme,Heparan sulfate
Collagenase Clostridium Histolyticum,Collagen hydrolytic enzyme,Collagen
Nabumetone,Cyclooxygenase-2 inhibitor,Cyclooxygenase-2
Atazanavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Etretinate,Retinoid receptor agonist,Retinoid receptor
Isoflurane,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Pipobroman,DNA inhibitor,DNA
Cytarabine,DNA inhibitor,DNA
Lincomycin,70S ribosome inhibitor,70S ribosome
Nordihydroguaiaretic Acid,Unknown,
Nintedanib,Fibroblast growth factor receptor inhibitor,Fibroblast growth factor receptor
Ceftolozane,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Ixazomib Citrate,26S proteosome inhibitor,26S proteosome
Cep-11981,Tyrosine-protein kinase TIE-2 inhibitor,Tyrosine-protein kinase TIE-2
Mk-5108,Serine/threonine-protein kinase Aurora-A inhibitor,Serine/threonine-protein kinase Aurora-A
Tricetamide,Tyrosine-protein kinase JAK3 inhibitor,Tyrosine-protein kinase JAK3
Rg-7602,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Gtx-758,Estrogen receptor alpha agonist,Estrogen receptor alpha
Ly-3023414,PI3-kinase class I inhibitor,PI3-kinase class I
Tecadenoson,Adenosine A1 receptor agonist,Adenosine A1 receptor
Trabodenoson,Adenosine A1 receptor agonist,Adenosine A1 receptor
Sufugolix,Gonadotropin-releasing hormone receptor antagonist,Gonadotropin-releasing hormone receptor
Robalzotan,Serotonin 1a (5-HT1a) receptor antagonist,Serotonin 1a (5-HT1a) receptor
Aleglitazar,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Linifanib,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Volasertib,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Momelotinib,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Dacomitinib,Receptor protein-tyrosine kinase erbB-4 inhibitor,Receptor protein-tyrosine kinase erbB-4
Dovitinib,Fibroblast growth factor receptor 3 inhibitor,Fibroblast growth factor receptor 3
Latanoprostene Bunod,Prostanoid FP receptor agonist,Prostanoid FP receptor
Cebranopadol,Opioid receptors; mu/kappa/delta agonist,Opioid receptors; mu/kappa/delta
Tezosentan,Endothelin receptor ET-B antagonist,Endothelin receptor ET-B
Motesanib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Lerdelimumab,Transforming growth factor beta-2 inhibitor,Transforming growth factor beta-2
Drisapersen,Dystrophin pre-mRNA OTHER,Dystrophin pre-mRNA
Telotristat,Tryptophan 5-hydroxylase inhibitor,Tryptophan 5-hydroxylase
Neramexane,Neuronal acetylcholine receptor; alpha9/alpha10 antagonist,Neuronal acetylcholine receptor; alpha9/alpha10
Simtuzumab,Lysyl oxidase homolog 2 inhibitor,Lysyl oxidase homolog 2
Abx-Il8,Interleukin-8 inhibitor,Interleukin-8
Lixisenatide,Glucagon-like peptide 1 receptor agonist,Glucagon-like peptide 1 receptor
Ni-0401,T cell surface glycoprotein CD3 inhibitor,T cell surface glycoprotein CD3
Orlistat,Gastric lipase inhibitor,Gastric lipase
Desirudin,Thrombin inhibitor,Thrombin
Etanercept,TNF-alpha inhibitor,TNF-alpha
Oxyphenonium,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Anakinra,Interleukin-1 receptor antagonist,Interleukin-1 receptor
Zolmitriptan,Serotonin 1d (5-HT1d) receptor agonist,Serotonin 1d (5-HT1d) receptor
Fosfomycin,UDP-N-acetylglucosamine 1-carboxyvinyltransferase inhibitor,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
Aliskiren,Renin inhibitor,Renin
Travoprost,Prostanoid FP receptor agonist,Prostanoid FP receptor
Adapalene,Retinoic acid receptor agonist,Retinoic acid receptor
Sulfadoxine,Dihydropteroate synthetase inhibitor,Dihydropteroate synthetase
Diethylpropion,Dopamine transporter inhibitor,Dopamine transporter
Betamethasone Benzoate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Methotrexate,Dihydrofolate reductase inhibitor,Dihydrofolate reductase
Carmustine,Glutathione reductase inhibitor,Glutathione reductase
Trametinib,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Dichlorphenamide,Carbonic anhydrase IV inhibitor,Carbonic anhydrase IV
Acetazolamide,Carbonic anhydrase IV inhibitor,Carbonic anhydrase IV
Regorafenib,Discoidin domain-containing receptor 2 inhibitor,Discoidin domain-containing receptor 2
Sorafenib,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
Simvastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Dexlansoprazole,Potassium-transporting ATPase inhibitor,Potassium-transporting ATPase
Piroxicam,Cyclooxygenase inhibitor,Cyclooxygenase
Flavoxate,Phosphodiesterase 7 inhibitor,Phosphodiesterase 7
Glipizide,"Sulfonylurea receptor 1, Kir6.2 blocker","Sulfonylurea receptor 1, Kir6.2"
Abatacept,T-lymphocyte activation antigen CD86 inhibitor,T-lymphocyte activation antigen CD86
Rescinnamine,Synaptic vesicular amine transporter inhibitor,Synaptic vesicular amine transporter
Tipranavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Propantheline,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
